entity_id,state,last_changed
sensor.xiao_sensor_xiao_12d7dc_battery,97.2,2026-07-29T01:32:06.741Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.6,2026-07-29T01:32:17.946Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.4,2026-07-29T01:33:58.639Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.6,2026-07-29T01:34:09.823Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.4,2026-07-29T01:34:32.209Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.6,2026-07-29T01:34:43.382Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.4,2026-07-29T01:34:54.549Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.6,2026-07-29T01:35:05.733Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.4,2026-07-29T01:35:39.377Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.6,2026-07-29T01:36:01.772Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.4,2026-07-29T01:36:24.234Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.6,2026-07-29T01:36:35.493Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.2,2026-07-29T01:36:46.777Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.6,2026-07-29T01:36:57.976Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.4,2026-07-29T01:37:31.762Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.6,2026-07-29T01:37:43.251Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.4,2026-07-29T01:37:54.500Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.6,2026-07-29T01:38:05.906Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.2,2026-07-29T01:38:28.605Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.4,2026-07-29T01:38:39.787Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.2,2026-07-29T01:39:02.429Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.4,2026-07-29T01:39:25.374Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.2,2026-07-29T01:39:47.697Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.4,2026-07-29T01:39:58.903Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.2,2026-07-29T01:40:10.066Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.4,2026-07-29T01:40:21.431Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.2,2026-07-29T01:40:32.852Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.4,2026-07-29T01:41:06.981Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.0,2026-07-29T01:41:29.690Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.4,2026-07-29T01:41:40.962Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.2,2026-07-29T01:41:52.217Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.4,2026-07-29T01:42:37.073Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.2,2026-07-29T01:43:45.089Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.4,2026-07-29T01:43:57.312Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.2,2026-07-29T01:44:08.769Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.0,2026-07-29T01:44:19.955Z
