entity_id,state,last_changed
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.12,2026-07-24T20:00:21.992Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.11,2026-07-24T20:00:44.454Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.12,2026-07-24T20:01:18.179Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.11,2026-07-24T20:02:02.982Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.12,2026-07-24T20:02:25.313Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.11,2026-07-24T20:03:10.532Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.12,2026-07-24T20:03:21.693Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.11,2026-07-24T20:03:55.199Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.12,2026-07-24T20:04:06.635Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.11,2026-07-24T20:05:13.955Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.12,2026-07-24T20:05:36.866Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.11,2026-07-24T20:05:48.036Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.12,2026-07-24T20:05:59.237Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.11,2026-07-24T20:06:10.625Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.12,2026-07-24T20:06:21.864Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.11,2026-07-24T20:06:55.921Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.12,2026-07-24T20:07:07.102Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.11,2026-07-24T20:08:37.113Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.12,2026-07-24T20:08:48.326Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.11,2026-07-24T20:10:17.719Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.12,2026-07-24T20:10:28.940Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.11,2026-07-24T20:11:13.853Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.12,2026-07-24T20:11:25.023Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.1,2026-07-24T20:12:09.764Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.09,2026-07-24T20:14:24.302Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.07,2026-07-24T20:15:10.521Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.06,2026-07-24T20:17:36.846Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.07,2026-07-24T20:17:59.688Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.06,2026-07-24T20:18:22.256Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.05,2026-07-24T20:24:33.661Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.06,2026-07-24T20:25:07.481Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.05,2026-07-24T20:25:18.638Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.04,2026-07-24T20:32:25.755Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.05,2026-07-24T20:32:36.929Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.04,2026-07-24T20:32:48.105Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.05,2026-07-24T20:33:10.436Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.04,2026-07-24T20:33:21.898Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.05,2026-07-24T20:33:44.487Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.04,2026-07-24T20:33:55.654Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.01,2026-07-24T20:39:02.645Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.04,2026-07-24T20:39:15.041Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.03,2026-07-24T20:47:41.329Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.04,2026-07-24T20:47:52.508Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.03,2026-07-24T20:48:15.368Z
